state,county,no_of_kg_student,vax-rate
South Dakota,Yankton,243,1.0
Mississippi,SMITH,242,1.0
IOWA,Jones ,233,1.0
IOWA,Clay ,232,1.0
Mississippi,CHICKASAW,229,1.0
Tennessee,Crockett,227,1.0
Mississippi,CALHOUN,223,1.0
Arkansas,Desha,220,1.0
IOWA,Madison ,218,1.0
IOWA,Delaware ,217,1.0
Mississippi,CLARKE,217,1.0
IOWA,Winnebago ,215,1.0
IOWA,Clayton ,209,1.0
Virginia,Martinsville city,208,1.0
Mississippi,STONE,205,1.0
IOWA,Dickinson ,203,1.0
Mississippi,LAWRENCE,201,1.0
Mississippi,TALLAHATCHIE,201,1.0
IOWA,Tama ,193,1.0
Virginia,Buchanan,190,1.0
Mississippi,TUNICA,185,1.0
Mississippi,GREENE,182,1.0
Mississippi,MONTGOMERY,168,1.0
IOWA,Cherokee ,164,1.0
IOWA,Louisa ,164,1.0
Mississippi,WEBSTER,161,1.0
IOWA,Keokuk ,156,1.0
IOWA,Kossuth ,154,1.0
IOWA,Chickasaw ,151,1.0
Mississippi,AMITE,149,1.0
Virginia,Dickenson,148,1.0
Virginia,Northampton,147,1.0
Mississippi,JEFF DAVIS,144,1.0
IOWA,Emmet ,141,1.0
IOWA,Jefferson ,141,1.0
IOWA,Howard ,140,1.0
Mississippi,YALOBUSHA,137,1.0
Mississippi,CHOCTAW,126,1.0
Arkansas,Lincoln,125,1.0
IOWA,Humboldt ,125,1.0
IOWA,Fremont ,124,1.0
IOWA,Montgomery ,124,1.0
North Dakota,Traill,118,1.0
Mississippi,WILKINSON,115,1.0
Florida,Liberty,110,1.0
IOWA,Calhoun ,110,1.0
Mississippi,BENTON,109,1.0
Mississippi,FRANKLIN,107,1.0
Mississippi,QUITMAN,107,1.0
Mississippi,JEFFERSON,105,1.0
Utah,Provo,103,1.0
IOWA,Worth ,101,1.0
Mississippi,KEMPER,100,1.0
Arkansas,Woodruff,99,1.0
IOWA,Greene ,98,1.0
South Dakota,Brule,98,1.0
Arkansas,Lee,94,1.0
Virginia,Northumberland,93,1.0
IOWA,Davis ,92,1.0
Mississippi,CARROLL,87,1.0
Mississippi,SHARKEY/ISSAQUENA,86,1.0
South Dakota,Corson,85,1.0
Arkansas,Dallas,82,1.0
Kentucky,Menifee,81,1.0
IOWA,Monona ,78,1.0
IOWA,Pocahontas ,77,1.0
South Dakota,Moody,77,1.0
Tennessee,Clay,77,1.0
IOWA,Ida ,71,1.0
Virginia,Buena Vista city,69,1.0
IOWA,Osceola ,66,1.0
Virginia,Surry,65,1.0
IOWA,Audubon ,62,1.0
IOWA,Van Buren ,60,1.0
Pennsylvania,Cameron,55,1.0
South Dakota,Hanson,55,1.0
South Dakota,Lyman,54,1.0
Arkansas,Lafayette,52,1.0
South Dakota,Walworth,51,1.0
Virginia,Bland,50,1.0
MINNESOTA,KITTSON,47,1.0
South Dakota,Deuel,47,1.0
South Dakota,Mellette,41,1.0
Idaho,Glenns Ferry,39,1.0
Utah,North Sanpete,38,1.0
South Dakota,Miner,35,1.0
MINNESOTA,BIG STONE,32,1.0
South Dakota,Hand,31,1.0
California,SIERRA,28,1.0
South Dakota,Douglas,27,1.0
Idaho,Grace,26,1.0
South Dakota,Jerauld,26,1.0
North Dakota,Eddy,25,1.0
North Dakota,Foster,25,1.0
North Dakota,Towner,25,1.0
Virginia,King and Queen,24,1.0
Idaho,Notus,20,1.0
South Dakota,Faulk,20,1.0
Utah,Rich,20,1.0
Kentucky,Robertson,19,1.0
Idaho,Dietrich,18,1.0
Oregon,Wheeler,17,1.0
South Dakota,Hyde,14,1.0
Idaho,Meados Valley,13,1.0
Idaho,South Lemhi,9,1.0
Idaho,Nezperce,9,1.0
North Dakota,Billings,8,1.0
Idaho,Bliss,7,1.0
Idaho,Professional Technical,4,1.0
Idaho,Arbon,3,1.0
Idaho,Pleasant Valley,2,1.0
Idaho,Three Creek,2,1.0
Idaho,Prairie,1,1.0
Idaho,Mullan,1,1.0
ILLINOIS,WALWORTH,0,1.0
Kansas,COMANCHE,0,1.0
Kansas,EDWARDS,0,1.0
Kansas,HAMILTON,0,1.0
Kansas,LANE,0,1.0
Kansas,ROOKS,0,1.0
Kansas,WICHITA,0,1.0
MISSOURI,Carroll,0,1.0
MISSOURI,Chariton,0,1.0
MISSOURI,Clark,0,1.0
MISSOURI,Knox,0,1.0
MISSOURI,Maries,0,1.0
MISSOURI,Mercer,0,1.0
MISSOURI,New Madrid,0,1.0
MISSOURI,Ralls,0,1.0
MISSOURI,Schuyler,0,1.0
MISSOURI,Worth,0,1.0
MONTANA,Chouteau,0,1.0
MONTANA,Deer Lodge,0,1.0
MONTANA,Fallon,0,1.0
MONTANA,Hill,0,1.0
MONTANA,Meagher,0,1.0
MONTANA,Mineral,0,1.0
MONTANA,Sheridan,0,1.0
MONTANA,Sweet Grass,0,1.0
MONTANA,Treasure,0,1.0
North Carolina,Alexander,0,1.0
North Carolina,Ashe,0,1.0
North Carolina,Caldwell,0,1.0
North Carolina,Camden,0,1.0
North Carolina,Carteret,0,1.0
North Carolina,Catawba,0,1.0
North Carolina,Chatham,0,1.0
North Carolina,Columbus,0,1.0
North Carolina,Craven,0,1.0
North Carolina,Currituck,0,1.0
North Carolina,Gates,0,1.0
North Carolina,Granville,0,1.0
North Carolina,Haywood,0,1.0
North Carolina,Henderson,0,1.0
North Carolina,Hyde,0,1.0
North Carolina,Jackson,0,1.0
North Carolina,Jones,0,1.0
North Carolina,McDowell,0,1.0
North Carolina,Moore,0,1.0
North Carolina,Nash,0,1.0
North Carolina,Pamlico,0,1.0
North Carolina,Perquimans,0,1.0
North Carolina,Person,0,1.0
North Carolina,Randolph,0,1.0
North Carolina,Stokes,0,1.0
North Carolina,Surry,0,1.0
North Carolina,Transylvania,0,1.0
North Carolina,Watauga,0,1.0
North Carolina,Wilkes,0,1.0
South Carolina,Fairfield,0,1.0
South Carolina,Newberry,0,1.0
Texas,BORDEN,0,1.0
Texas,BRISCOE,0,1.0
Texas,BROOKS,0,1.0
Texas,BURLESON,0,1.0
Texas,CHILDRESS,0,1.0
Texas,COCHRAN,0,1.0
Texas,CONCHO,0,1.0
Texas,CRANE,0,1.0
Texas,DELTA,0,1.0
Texas,DICKENS,0,1.0
Texas,DIMMIT,0,1.0
Texas,DUVAL,0,1.0
Texas,EDWARDS,0,1.0
Texas,FALLS,0,1.0
Texas,FRIO,0,1.0
Texas,GARZA,0,1.0
Texas,GLASSCOCK,0,1.0
Texas,GOLIAD,0,1.0
Texas,GONZALES,0,1.0
Texas,HAMILTON,0,1.0
Texas,HARDIN,0,1.0
Texas,HIDALGO,0,1.0
Texas,HOCKLEY,0,1.0
Texas,HOUSTON,0,1.0
Texas,IRION,0,1.0
Texas,JIM WELLS,0,1.0
Texas,KENEDY,0,1.0
Texas,KENT,0,1.0
Texas,KIMBLE,0,1.0
Texas,KLEBERG,0,1.0
Texas,KNOX,0,1.0
Texas,MARION,0,1.0
Texas,MASON,0,1.0
Texas,MAVERICK,0,1.0
Texas,MENARD,0,1.0
Texas,PRESIDIO,0,1.0
Texas,SAN AUGUSTINE,0,1.0
Texas,SAN SABA,0,1.0
Texas,SCHLEICHER,0,1.0
Texas,SCURRY,0,1.0
Texas,STARR,0,1.0
Texas,STEPHENS,0,1.0
Texas,SUTTON,0,1.0
Texas,SWISHER,0,1.0
Texas,TERRELL,0,1.0
Texas,THROCKMORTON,0,1.0
Texas,TITUS,0,1.0
Texas,TRINITY,0,1.0
Texas,WEBB,0,1.0
Texas,WINKLER,0,1.0
Texas,ZAPATA,0,1.0
Texas,ZAVALA,0,1.0
Virginia,Sussex,0,1.0
West Virginia,Barbour,0,1.0
West Virginia,Boone,0,1.0
West Virginia,Cabell,0,1.0
West Virginia,Calhoun,0,1.0
West Virginia,Gilmer,0,1.0
West Virginia,Grant,0,1.0
West Virginia,Greenbrier,0,1.0
West Virginia,Hampshire,0,1.0
West Virginia,Hancock,0,1.0
West Virginia,Hardy,0,1.0
West Virginia,Harrison,0,1.0
West Virginia,Logan,0,1.0
West Virginia,Marshall,0,1.0
West Virginia,Mineral,0,1.0
West Virginia,Monogalia,0,1.0
West Virginia,Monroe,0,1.0
West Virginia,Morgan,0,1.0
West Virginia,McDowell,0,1.0
West Virginia,Pleasants,0,1.0
West Virginia,Randolph,0,1.0
West Virginia,Summers,0,1.0
West Virginia,Tyler,0,1.0
West Virginia,Upshur,0,1.0
West Virginia,Wayne,0,1.0
West Virginia,Wirt,0,1.0
West Virginia,Wood,0,1.0
Maryland,Montgomery,12416,0.99
Maryland,Baltimore City,7928,0.99
Maryland,Anne Arundel,6422,0.99
Mississippi,HINDS,3794,0.99
Mississippi,HARRISON,2901,0.99
Mississippi,DESOTO,2867,0.99
Mississippi,RANKIN,2026,0.99
Mississippi,JACKSON,1871,0.99
Maryland,Carroll,1839,0.99
Maryland,Washington,1515,0.99
IOWA,Johnson ,1500,0.99
Mississippi,MADISON,1488,0.99
Mississippi,LEE,1298,0.99
Mississippi,FORREST,1162,0.99
Mississippi,JONES,1160,0.99
Arkansas,Crittenden,968,0.99
IOWA,Warren ,918,0.99
IOWA,Story ,910,0.99
Mississippi,LOWNDES,871,0.99
Nebraska,Elkhorn Logan Valley,756,0.99
Mississippi,WARREN,714,0.99
Nebraska,East Central District,714,0.99
Mississippi,PEARL RIVER,684,0.99
Mississippi,HANCOCK,671,0.99
Mississippi,PIKE,636,0.99
IOWA,Marshall ,624,0.99
Mississippi,BOLIVAR,595,0.99
IOWA,Sioux ,582,0.99
Virginia,Franklin,573,0.99
Nebraska,Southeast District,485,0.99
Mississippi,PONTOTOC,484,0.99
Maryland,Worcester,480,0.99
Arkansas,Hot Spring,471,0.99
Mississippi,COAHOMA,464,0.99
Mississippi,ALCORN,463,0.99
Florida,Hardee,456,0.99
IOWA,Jasper ,428,0.99
South Dakota,Codington,413,0.99
California,COLUSA,403,0.99
Virginia,Petersburg city,398,0.99
Mississippi,SIMPSON,391,0.99
Tennessee,Rhea,389,0.99
Mississippi,YAZOO,383,0.99
Tennessee,Cocke,380,0.99
Arkansas,Poinsett,367,0.99
Arkansas,Ouachita,366,0.99
Oregon,North Central (=Wasco + Sherman + Gilliam counties),353,0.99
Kentucky,Meade,350,0.99
Arkansas,Columbia,323,0.99
Arkansas,Hempstead,318,0.99
IOWA,Bremer ,313,0.99
Oregon,Jefferson,307,0.99
Arkansas,Ashley,304,0.99
Tennessee,McNairy,304,0.99
Kentucky,Grayson,301,0.99
Arkansas,Howard,295,0.99
Florida,Taylor,295,0.99
South Dakota,Todd,288,0.99
Florida,Holmes,280,0.99
Mississippi,TISHOMINGO,276,0.99
Kentucky,Mercer,275,0.99
Florida,Washington,272,0.99
Kentucky,Russell,272,0.99
Tennessee,Fayette,271,0.99
Kentucky,Wayne,234,0.99
Mississippi,JASPER,221,0.99
IOWA,Page ,219,0.99
MINNESOTA,WASECA,217,0.99
Tennessee,DeKalb,213,0.99
IOWA,Iowa ,212,0.99
South Dakota,Union,209,0.99
IOWA,Jackson ,205,0.99
IOWA,Shelby ,202,0.99
Kentucky,Adair,201,0.99
Arkansas,Bradley,192,0.99
IOWA,Wright ,184,0.99
Kentucky,Union,184,0.99
Virginia,Rockbridge,184,0.99
Arkansas,Clay,183,0.99
Virginia,Buckingham,182,0.99
IOWA,Mills ,181,0.99
Maryland,Kent,174,0.99
Virginia,Giles,169,0.99
Mississippi,WALTHALL,166,0.99
Tennessee,Sequatchie,163,0.99
IOWA,Lyon ,159,0.99
IOWA,Franklin ,158,0.99
Mississippi,HUMPHREYS,156,0.99
Virginia,Prince Edward,155,0.99
Virginia,King William,152,0.99
Virginia,Lancaster,152,0.99
Kentucky,Edmonson,148,0.99
Ohio,Monroe,148,0.99
Virginia,Brunswick,146,0.99
Tennessee,Unicoi,144,0.99
Virginia,Goochland,141,0.99
Arkansas,Izard,139,0.99
Arkansas,Stone,138,0.99
Virginia,Galax city,136,0.99
IOWA,Guthrie ,134,0.99
Mississippi,NOXUBEE,132,0.99
MINNESOTA,WATONWAN,128,0.99
IOWA,Palo Alto ,124,0.99
Mississippi,CLAIBORNE,124,0.99
IOWA,Sac ,121,0.99
Arkansas,Cleveland,116,0.99
Utah,Carbon,113,0.99
Virginia,Lunenburg,113,0.99
MINNESOTA,ROSEAU,112,0.99
IOWA,Hancock ,111,0.99
MINNESOTA,STEVENS,110,0.99
Kentucky,Hancock,102,0.99
Virginia,Franklin city,97,0.99
Kentucky,Fulton,87,0.99
Idaho,Shoshone,84,0.99
MINNESOTA,MURRAY,81,0.99
Tennessee,Trousdale,81,0.99
South Dakota,BonHomme,77,0.99
South Dakota,Day,73,0.99
IOWA,Taylor ,69,0.99
South Dakota,Tripp,69,0.99
Kansas,MITCHELL,0,0.99
MISSOURI,Barton,0,0.99
MISSOURI,Bollinger,0,0.99
MISSOURI,DeKalb,0,0.99
MISSOURI,Gasconade,0,0.99
MISSOURI,Harrison,0,0.99
MISSOURI,Mississippi,0,0.99
MISSOURI,Moniteau,0,0.99
MISSOURI,Osage,0,0.99
MISSOURI,Stoddard,0,0.99
MONTANA,Stillwater,0,0.99
North Carolina,Alamance,0,0.99
North Carolina,Anson,0,0.99
North Carolina,Avery,0,0.99
North Carolina,Beaufort,0,0.99
North Carolina,Bladen,0,0.99
North Carolina,Burke,0,0.99
North Carolina,Cabarrus,0,0.99
North Carolina,Cherokee,0,0.99
North Carolina,Cleveland,0,0.99
North Carolina,Dare,0,0.99
North Carolina,Davidson,0,0.99
North Carolina,Davie,0,0.99
North Carolina,Edgecombe,0,0.99
North Carolina,Forsyth,0,0.99
North Carolina,Gaston,0,0.99
North Carolina,Guilford,0,0.99
North Carolina,Halifax,0,0.99
North Carolina,Harnett,0,0.99
North Carolina,Iredell,0,0.99
North Carolina,Lee,0,0.99
North Carolina,Lincoln,0,0.99
North Carolina,Macon,0,0.99
North Carolina,Madison,0,0.99
North Carolina,Montgomery,0,0.99
North Carolina,New Hanover,0,0.99
North Carolina,Northampton,0,0.99
North Carolina,Orange,0,0.99
North Carolina,Pasquotank,0,0.99
North Carolina,Pender,0,0.99
North Carolina,Pitt,0,0.99
North Carolina,Richmond,0,0.99
North Carolina,Rockingham,0,0.99
North Carolina,Sampson,0,0.99
North Carolina,Scotland,0,0.99
North Carolina,Stanly,0,0.99
North Carolina,Swain,0,0.99
North Carolina,Vance,0,0.99
North Carolina,Wake,0,0.99
North Carolina,Washington,0,0.99
North Carolina,Wayne,0,0.99
South Carolina,Chester,0,0.99
South Carolina,Hampton,0,0.99
Texas,ANGELINA,0,0.99
Texas,AUSTIN,0,0.99
Texas,BAILEY,0,0.99
Texas,BEE,0,0.99
Texas,BROWN,0,0.99
Texas,CALHOUN,0,0.99
Texas,CAMERON,0,0.99
Texas,CAMP,0,0.99
Texas,CHAMBERS,0,0.99
Texas,CHEROKEE,0,0.99
Texas,COLORADO,0,0.99
Texas,CROCKETT,0,0.99
Texas,CROSBY,0,0.99
Texas,DEAF SMITH,0,0.99
Texas,DEWITT,0,0.99
Texas,FAYETTE,0,0.99
Texas,FLOYD,0,0.99
Texas,FRANKLIN,0,0.99
Texas,GRAY,0,0.99
Texas,GRIMES,0,0.99
Texas,HASKELL,0,0.99
Texas,HENDERSON,0,0.99
Texas,HOPKINS,0,0.99
Texas,HOWARD,0,0.99
Texas,HUTCHINSON,0,0.99
Texas,JACK,0,0.99
Texas,JIM HOGG,0,0.99
Texas,LAMAR,0,0.99
Texas,LAMB,0,0.99
Texas,LEE,0,0.99
Texas,LEON,0,0.99
Texas,LIVE OAK,0,0.99
Texas,MORRIS,0,0.99
Texas,NACOGDOCHES,0,0.99
Texas,NAVARRO,0,0.99
Texas,OCHILTREE,0,0.99
Texas,PECOS,0,0.99
Texas,RED RIVER,0,0.99
Texas,RUNNELS,0,0.99
Texas,SAN JACINTO,0,0.99
Texas,SAN PATRICIO,0,0.99
Texas,TOM GREEN,0,0.99
Texas,UPTON,0,0.99
Texas,VICTORIA,0,0.99
Texas,WALKER,0,0.99
Texas,WARD,0,0.99
Texas,WHARTON,0,0.99
Texas,WILLACY,0,0.99
Texas,WILSON,0,0.99
Texas,YOAKUM,0,0.99
West Virginia,Berkeley,0,0.99
West Virginia,Brooke,0,0.99
West Virginia,Clay,0,0.99
West Virginia,Doddridge,0,0.99
West Virginia,Jackson,0,0.99
West Virginia,Jefferson,0,0.99
West Virginia,Lincoln,0,0.99
West Virginia,Marion,0,0.99
West Virginia,Ohio,0,0.99
West Virginia,Pendleton,0,0.99
West Virginia,Putnam,0,0.99
West Virginia,Raleigh,0,0.99
West Virginia,Roane,0,0.99
Massachusetts,Middlesex,17998,0.98
Massachusetts,Norfolk,7811,0.98
Massachusetts,Bristol,6080,0.98
New Jersey,Gloucester,3692,0.98
South Dakota,Minnehaha,2993,0.98
California,KINGS,2722,0.98
Nebraska,Sarpy-Cass Dept of Health and Wellness,2552,0.98
Kentucky,Boone,1780,0.98
South Dakota,Pennington,1628,0.98
Maryland,Wicomico,1349,0.98
Arkansas,Saline,1335,0.98
Nebraska,Two Rivers,1334,0.98
Nebraska,Central District,1264,0.98
Arkansas,White,1140,0.98
Ohio,Muskingum,1116,0.98
Oregon,Umatilla,1090,0.98
Arkansas,Lonoke,996,0.98
Arkansas,Jefferson,991,0.98
Virginia,Suffolk city,990,0.98
Kentucky,Pulaski,831,0.98
Oregon,Klamath,802,0.98
Kentucky,Pike,796,0.98
Tennessee,Tipton,780,0.98
Arizona,Santa Cruz,769,0.98
Mississippi,WASHINGTON,759,0.98
Arkansas,Mississippi,748,0.98
MINNESOTA,BLUE EARTH,734,0.98
Maryland,Allegany,718,0.98
Virginia,Augusta,709,0.98
Tennessee,Gibson,676,0.98
IOWA,Clinton ,668,0.98
Tennessee,Bedford,657,0.98
Arkansas,Union,630,0.98
Tennessee,Dickson,616,0.98
Florida,Jackson,574,0.98
Kentucky,Floyd,573,0.98
Arkansas,Miller,556,0.98
Nebraska,Scotts Bluff County,535,0.98
Tennessee,Loudon,512,0.98
South Dakota,Brown,496,0.98
Virginia,Prince George,473,0.98
Tennessee,Cheatham,451,0.98
IOWA,Marion ,443,0.98
MINNESOTA,NICOLLET,397,0.98
Virginia,Louisa,378,0.98
Ohio,Gallia,377,0.98
Ohio,Adams,370,0.98
Arkansas,Phillips,346,0.98
Tennessee,Marion,345,0.98
Florida,Bradford,342,0.98
IOWA,Hardin ,322,0.98
Mississippi,HOLMES,322,0.98
Virginia,Pulaski,321,0.98
MINNESOTA,FREEBORN,317,0.98
Virginia,Scott,309,0.98
Idaho,Jerome,308,0.98
IOWA,Washington ,298,0.98
Arkansas,Cross,283,0.98
South Dakota,Davison,281,0.98
Arkansas,Franklin,274,0.98
IOWA,Mahaska ,263,0.98
MINNESOTA,WABASHA,257,0.98
South Dakota,Hughes,254,0.98
Virginia,Waynesboro city,250,0.98
Arkansas,Arkansas,245,0.98
Tennessee,Overton,232,0.98
Virginia,Staunton city,218,0.98
Tennessee,Chester,205,0.98
Kentucky,Henry,203,0.98
Pennsylvania,Montour,201,0.98
Kentucky,Fleming,199,0.98
Virginia,Greensville,197,0.98
IOWA,Hamilton ,195,0.98
Kentucky,Spencer,195,0.98
Kentucky,Jackson,193,0.98
Oregon,Morrow,192,0.98
Kentucky,Hart,186,0.98
IOWA,Grundy ,181,0.98
Mississippi,PERRY,178,0.98
Florida,Hamilton,175,0.98
Tennessee,Wayne,173,0.98
Arkansas,Pike,169,0.98
Arkansas,Madison,166,0.98
Kentucky,Martin,165,0.98
Virginia,Alleghany,164,0.98
Florida,Gulf,162,0.98
Virginia,Patrick,161,0.98
Virginia,Charlotte,160,0.98
Ohio,Morgan,158,0.98
Kentucky,Clinton,150,0.98
IOWA,Union ,147,0.98
Florida,Glades,141,0.98
Tennessee,Johnson,140,0.98
South Dakota,Clay,137,0.98
South Dakota,Dewey,132,0.98
MINNESOTA,MAHNOMEN,129,0.98
Arkansas,Searcy,127,0.98
Florida,Lafayette,127,0.98
Virginia,Westmoreland,127,0.98
MINNESOTA,MARSHALL,123,0.98
Virginia,Poquoson city,123,0.98
South Dakota,Hutchinson,122,0.98
IOWA,Lucas ,100,0.98
MINNESOTA,LAKE,99,0.98
Florida,Jefferson,96,0.98
South Dakota,Bennett,95,0.98
South Dakota,Spink,94,0.98
IOWA,Mitchell ,93,0.98
Kentucky,Ballard,92,0.98
Virginia,Middlesex,92,0.98
IOWA,Wayne ,81,0.98
Idaho,Aberdeen,58,0.98
Vermont,Essex,52,0.98
Tennessee,Moore,49,0.98
South Dakota,Edmunds,48,0.98
South Dakota,Aurora,47,0.98
MINNESOTA,RED LAKE,46,0.98
North Dakota,Wells,46,0.98
South Dakota,Jackson,44,0.98
Idaho,Valley School,41,0.98
Connecticut,Litchfield,0,0.98
Connecticut,New Haven,0,0.98
Kansas,BROWN,0,0.98
Kansas,CLAY,0,0.98
MISSOURI,Andrew,0,0.98
MISSOURI,Atchison,0,0.98
MISSOURI,Boone,0,0.98
MISSOURI,Buchanan,0,0.98
MISSOURI,Cole,0,0.98
MISSOURI,Cooper,0,0.98
MISSOURI,Dunklin,0,0.98
MISSOURI,Holt,0,0.98
MISSOURI,Iron,0,0.98
MISSOURI,Jefferson,0,0.98
MISSOURI,Lewis,0,0.98
MISSOURI,Linn,0,0.98
MISSOURI,Madison,0,0.98
MISSOURI,Montgomery,0,0.98
MISSOURI,Perry,0,0.98
MISSOURI,Shelby,0,0.98
MISSOURI,St Louis City,0,0.98
MONTANA,Beaverhead,0,0.98
MONTANA,Custer,0,0.98
MONTANA,Glacier,0,0.98
MONTANA,Jefferson,0,0.98
MONTANA,Madison,0,0.98
MONTANA,Rosebud,0,0.98
MONTANA,Silver Bow,0,0.98
MONTANA,Toole,0,0.98
MONTANA,Valley,0,0.98
North Carolina,Bertie,0,0.98
North Carolina,Brunswick,0,0.98
North Carolina,Buncombe,0,0.98
North Carolina,Chowan,0,0.98
North Carolina,Cumberland,0,0.98
North Carolina,Duplin,0,0.98
North Carolina,Durham,0,0.98
North Carolina,Graham,0,0.98
North Carolina,Johnston,0,0.98
North Carolina,Onslow,0,0.98
North Carolina,Polk,0,0.98
North Carolina,Rowan,0,0.98
North Carolina,Rutherford,0,0.98
North Carolina,Union,0,0.98
North Carolina,Wilson,0,0.98
North Carolina,Yadkin,0,0.98
North Carolina,Yancey,0,0.98
South Carolina,Cherokee,0,0.98
South Carolina,Kershaw,0,0.98
South Carolina,Lancaster,0,0.98
South Carolina,Marion,0,0.98
South Carolina,Sumter,0,0.98
South Carolina,Union,0,0.98
South Carolina,York,0,0.98
Texas,ANDERSON,0,0.98
Texas,ARCHER,0,0.98
Texas,BELL,0,0.98
Texas,BEXAR,0,0.98
Texas,BOSQUE,0,0.98
Texas,BOWIE,0,0.98
Texas,BRAZORIA,0,0.98
Texas,CALDWELL,0,0.98
Texas,CARSON,0,0.98
Texas,CASS,0,0.98
Texas,CLAY,0,0.98
Texas,COLEMAN,0,0.98
Texas,DALLAS,0,0.98
Texas,EL PASO,0,0.98
Texas,ERATH,0,0.98
Texas,FANNIN,0,0.98
Texas,FORT BEND,0,0.98
Texas,FREESTONE,0,0.98
Texas,GRAYSON,0,0.98
Texas,GUADALUPE,0,0.98
Texas,HALE,0,0.98
Texas,HANSFORD,0,0.98
Texas,HARDEMAN,0,0.98
Texas,HARRISON,0,0.98
Texas,HUNT,0,0.98
Texas,JASPER,0,0.98
Texas,JEFFERSON,0,0.98
Texas,JONES,0,0.98
Texas,KAUFMAN,0,0.98
Texas,KERR,0,0.98
Texas,LAVACA,0,0.98
Texas,MADISON,0,0.98
Texas,MCLENNAN,0,0.98
Texas,MEDINA,0,0.98
Texas,MIDLAND,0,0.98
Texas,MOORE,0,0.98
Texas,NOLAN,0,0.98
Texas,NUECES,0,0.98
Texas,PARMER,0,0.98
Texas,RAINS,0,0.98
Texas,REFUGIO,0,0.98
Texas,ROCKWALL,0,0.98
Texas,SMITH,0,0.98
Texas,TARRANT,0,0.98
Texas,TAYLOR,0,0.98
Texas,TERRY,0,0.98
Texas,TYLER,0,0.98
Texas,UPSHUR,0,0.98
Texas,WASHINGTON,0,0.98
Texas,WICHITA,0,0.98
Texas,WISE,0,0.98
Virginia,Halifax,0,0.98
West Virginia,Mason,0,0.98
West Virginia,Nicholas,0,0.98
West Virginia,Taylor,0,0.98
West Virginia,Wyoming,0,0.98
Arizona,Yuma,2802,0.979
Maryland,Prince George's,10771,0.97
California,TULARE,9315,0.97
Arkansas,Pulaski,5380,0.97
California,MERCED,5199,0.97
Arkansas,Benton,3381,0.97
Arkansas,Washington,3251,0.97
New Jersey,Cumberland,2286,0.97
Virginia,Chesapeake city,2074,0.97
MINNESOTA,OLMSTED,1969,0.97
Arkansas,Sebastian,1836,0.97
IOWA,Black Hawk ,1618,0.97
Arkansas,Faulkner,1605,0.97
Virginia,Hampton city,1508,0.97
Tennessee,Wilson,1464,0.97
Virginia,Portsmouth city,1391,0.97
Tennessee,Blount,1348,0.97
Arkansas,Garland,1281,0.97
Ohio,Scioto,1049,0.97
Tennessee,Madison,1040,0.97
Kentucky,Campbell,976,0.97
Nebraska,Three Rivers,970,0.97
Tennessee,Maury,970,0.97
Virginia,Roanoke,957,0.97
Ohio,Belmont,941,0.97
California,SAN BENITO,897,0.97
Florida,Nassau,881,0.97
Arkansas,Pope,839,0.97
Kentucky,Oldham,816,0.97
Virginia,York,813,0.97
Tennessee,Anderson,810,0.97
